Bin,ao,bf,bi,bj,bw,cd,cf,cg,ci,cm,dj,er,et,ga,gh,gm,gn,gq,gw,ke,km,lr,ls,mg,ml,mr,mw,mz,na,ne,ng,rw,sd,sl,sn,so,ss,st,sz,td,tg,tz,ug,za,zm,zw
"(0.0, 10.0]",0.005318210735121382,0.024423848207087293,0.005258165371410945,0.0226125116636835,0.06669721898623884,0.002762374394031517,0.011248763544991098,0.005807726490164543,0.01008579932342135,0.011471773090269316,0.0,0.0,0.011111300507786716,0.009044228283590881,0.013252017821144721,0.0025978740157041095,0.00468706702119463,0.003137972595749853,0.008392014944869382,0.019133080602515812,0.0005795902149436816,0.04007582720361534,0.0013718434519070617,0.006174025658430335,0.018717452437838115,0.01972655336254981,0.024711996281793762,0.10279331402336346,0.14166331859389925,0.004167843801014785,0.0033553889376354866,0.006482067786902601,0.019449745233212315,0.00025951802884028447,0.0054893047864844405,0.0027782363365561895,0.024577637032523702,0.005822866374519729,0.015972023919224778,0.019539502702807687,0.013121475819980542,0.035166328876393024,0.019923288436683256,0.008254863196151919,0.12322408778157962,0.0474121604910162
"(10.0, 100.0]",0.12893276950477114,0.2681615525621781,0.1966336027978411,0.12315611796599157,0.0915895447333135,0.08614520602930609,0.128689754613707,0.048525528858347086,0.09001497843013945,0.11024848982546753,0.054583235575107726,0.1424569036737664,0.2434849779513673,0.05913630996708361,0.07592063477018166,0.028062753439656227,0.12692013719468273,0.07340556981948035,0.12913294385885035,0.13357921973562847,0.014087643515921053,0.15970384710377322,0.1438091374897965,0.1787380883883337,0.12684104426585047,0.11681665896591821,0.1758993845873579,0.25893934548972203,0.29997336175445527,0.1717474926902934,0.08888962713806232,0.07579476746976725,0.10659631170704227,0.07899725346897263,0.07647094621780358,0.1299220490026518,0.2542624045213961,0.054596058996381945,0.32854166350308783,0.18276768006937935,0.1119387729704207,0.211691284145436,0.19536258104501683,0.055431084556904466,0.23349393962853776,0.36615245188930917
"(100.0, 500.0]",0.12023408552969911,0.18022591167097216,0.2479895837703251,0.10722295248336358,0.06252924838720916,0.1228295776331185,0.1415243634264549,0.07652706117412325,0.09291404063681363,0.137481482361598,0.08283854837783815,0.14653897639576147,0.24694931879558063,0.1142866247486865,0.07758947910425408,0.10539366016535248,0.20284052066565963,0.23756587852048894,0.23570928985374584,0.12048298662272627,0.035945377491788694,0.161485867453094,0.277930116202956,0.28805560409121406,0.17875217482490313,0.1525055874636774,0.24019247586621081,0.14573821085955663,0.07225428188087507,0.18790285531802525,0.10871063187091086,0.12413510134846517,0.12525215587068372,0.2274491118535026,0.1520415608372613,0.11674571594340664,0.20146368452390154,0.08566391330563686,0.23842029107610765,0.23318557647725807,0.12285858650013819,0.1282269824898015,0.2088378556089165,0.05319825570032115,0.1427400402233076,0.16948055471638362
"(500.0, 1000.0]",0.05518155295798051,0.06928767162476811,0.09710370553186323,0.05797145207354277,0.04412933999899793,0.07480620086198848,0.08818064399719203,0.040535423695609564,0.07541128624764191,0.06766439209675486,0.04996259618488664,0.08407239757288332,0.09355394105693234,0.04812794147045791,0.05390428442549542,0.07511042523548969,0.08726268562532938,0.08410583078735757,0.09206244344238998,0.057340083312175445,0.04263385066024924,0.07943505393303738,0.11342219840237586,0.11572892690024825,0.11858477140673584,0.08068829155801377,0.13838342746007995,0.06290999822687281,0.02755770484135189,0.12242650090575612,0.06064707842536583,0.09872769209734235,0.0790800104775567,0.111895180410637,0.09155683533048573,0.062499726963152584,0.0633307895774,0.047150502294023615,0.08813425225650227,0.11629538346232111,0.06396920397603496,0.06410431652392115,0.10149373744827832,0.03610180681004733,0.06058921167702301,0.03261455933235209
"(1000.0, 10000.0]",0.12789146748995267,0.17087472354598826,0.23443762725532896,0.23881983392888712,0.2676156591415087,0.26292779710153164,0.2693493374778908,0.12733968923132222,0.32550751945675077,0.18807723247223082,0.11821708566650377,0.3209503426753906,0.20400385239018587,0.14472882746658655,0.23759959280373966,0.2625834460668573,0.18000939290629922,0.1387324817040397,0.15466893602002868,0.22823516414602107,0.3755944326925987,0.1410010803699616,0.20776057229519634,0.2383422943976335,0.2531579533974808,0.20420012351506422,0.28981734935493186,0.16524296872800145,0.09512454335066267,0.3200855718086284,0.2209673759200322,0.5898486862111813,0.2934181357896959,0.19974261358179982,0.21939845953145848,0.21180373916201398,0.1662440640643026,0.30576308519129897,0.16782951296957435,0.23311606361311688,0.16826628064764002,0.28277390911079847,0.2604726927829631,0.3710868162822583,0.12084378994917389,0.07245760395053201
"(10000.0, 100000.0]",0.15235861576796322,0.11016727832152191,0.19732154822155692,0.23770820732908565,0.4674389887527318,0.19425787720945584,0.17536027221660472,0.16064117955130702,0.1506980101552385,0.16756293865790192,0.2658014657776273,0.2085513398007677,0.12390632508124892,0.21850107863727708,0.21414181606673335,0.14251067231685546,0.16097991297306435,0.04723240367935291,0.11591865247925152,0.4262126550485037,0.15450028315140196,0.15513986174278618,0.1504575654447961,0.09568459845794063,0.1385525129663691,0.11418394171363085,0.01679588788765368,0.09082608480241479,0.3634267895787558,0.10615025310622755,0.23350458355008896,0.10501168508634127,0.19398774697680402,0.12208944578983305,0.2490661523603806,0.22522914245053136,0.1660497480653561,0.501003573838139,0.16110225627550306,0.12056599768201016,0.1774191395704342,0.2460287696274429,0.14040701872764033,0.4740475563552142,0.08109673106598177,0.12244447755711511
"(100000.0, 1e+99]",0.4100832980145118,0.17685901406748408,0.02125576705167378,0.2125089245554458,0.0,0.25627096677056793,0.18564686472315947,0.5406233909991263,0.25536836574999444,0.3174936914957776,0.42859706841803635,0.09743003988143052,0.07699028421689819,0.4061749894263174,0.32759217500845095,0.38374116876008485,0.23730028361376998,0.4158198628935307,0.26411571940086426,0.015016810532429101,0.3766588222730967,0.26315846219373223,0.10524856671297225,0.07727646210619962,0.1653940907008225,0.31187884342114575,0.11419947856197202,0.17355007787006896,0.0,0.08751948237005433,0.2839253141579043,0.0,0.1822158939450052,0.25956687686641455,0.20597674093612584,0.25102139014168745,0.12407167221511994,0.0,0.0,0.09452979599310675,0.34242654051535143,0.03200840922620706,0.07350282595050187,0.0018796170991027253,0.23801219967439638,0.18943819206329185
