Bin,ao,bf,bi,bj,bw,cd,cf,cg,ci,cm,dj,er,et,ga,gh,gm,gn,gq,gw,ke,km,lr,ls,mg,ml,mr,mw,mz,na,ne,ng,rw,sd,sl,sn,so,ss,st,sz,td,tg,tz,ug,za,zm,zw
"(0.0, 10.0]",132551.6900000081,441260.73999999644,58592.28722999958,245419.65770995562,150611.48000001156,213872.1524121548,54817.71377000161,26304.702680000708,228823.44905000273,265900.91999999323,0.0,0.0,1095653.2261601011,15522.63852999999,361813.0601200099,5101.9519699999755,58982.7067400027,2638.5913292409987,15468.980000000065,873807.5533473875,453.3640452450005,180140.4630235426,2855.049999999997,130831.79106000754,328153.6203799853,79343.11474999794,421940.30877659714,2838910.0002180645,333817.72113001364,82816.57116000238,606921.5174740177,75023.77128000313,778395.5982658901,1671.563400000006,82845.61229998831,29849.02628771021,302771.6724337661,1102.889940000002,19066.234269999724,272165.90894998633,95836.547630021,1874317.9795903526,765508.6237031436,443291.6173499928,1992674.1920504149,677351.3197403067
"(10.0, 100.0]",3213535.0300008105,4844820.690000767,2191108.8222600385,1336646.4002600333,206821.77000000133,6669646.472717058,627133.6494300464,219784.73180000775,2042231.5743199736,2555417.9500000463,47941.03031000074,737823.357383277,24009349.88905958,101495.84185999948,2072822.2345599174,55112.303109999964,1597180.7524200585,61723.70667162945,238030.43000000023,6100561.305318219,11019.56328398,717867.2773925781,299292.36999999825,3787581.316990002,2223772.0665699923,469853.8769900038,3003360.78882802,7151296.797315175,706862.051620001,3412685.102660165,16078323.077607157,877252.3654199613,4266076.435924426,508823.6766799935,1154113.792000019,1395866.3649329515,3132256.0973661263,10340.859700000015,392189.01470999833,2545772.6601002594,817577.6638699578,11282860.414318513,7506378.327761711,2976685.9293499766,3775863.5983793237,5231017.611196333
"(100.0, 500.0]",2996728.0399999768,3256105.199999982,2763373.8948799856,1163719.4792199994,141199.63000000012,9509871.726667618,689679.5380899999,346610.94915000134,2108004.587630005,3186643.629999967,72757.96894000018,758965.5310733805,24350958.52612421,196150.50717000017,2118385.8372900053,206982.0895299998,2552573.4732000227,199759.31849649962,434482.3399999991,5502456.501800724,28117.006338900002,725877.4419541985,578421.9600000003,6104093.6162399035,3133875.9115000106,613400.0250199992,4101121.021431617,4024947.2269086246,170261.15129000004,3733698.029859941,19663539.12674792,1436745.76656,5012699.42788608,1465006.544769985,2294639.611489997,1254301.4783587025,2481829.177363635,16225.31965,284608.71004000027,3248043.992790052,897333.7251399979,6834325.516149911,8024136.172718659,2856781.5418899935,2308269.4256125987,2421274.968669988
"(500.0, 1000.0]",1375351.3100000012,1251806.3900000006,1082036.7568800019,629179.7274200004,99650.10999999997,5791743.228831467,429723.78993999993,183595.46892,1710907.5902799985,1568373.4300000002,43882.67409999998,435433.99470860075,9225083.712494927,82602.14306999998,1471721.0891800004,147508.99377000006,1098125.836970003,70721.1134204,169698.4699999999,2618720.8922936944,33348.8290543,357059.81371500023,236051.7500000001,2452374.450880007,2079023.4241700007,324540.2406799999,2362801.671149801,1737426.4540140969,64937.418670000014,2432659.0698199924,10969821.24946358,1142679.1626400005,3164850.301557606,720720.2098699996,1381792.84595,671489.3072813,780171.3830961968,8930.621330000002,105208.22591000002,1619879.442589996,467217.84560000006,3416673.7577999984,3899674.0681356094,1938690.920710001,979796.731297301,465946.1745199987
"(1000.0, 10000.0]",3187581.5000000005,3087159.17,2612363.024629998,2591975.75081,604312.91,20356738.75944902,1312598.9204900004,576754.54763,7385012.422450011,4359387.929999993,103831.31060999997,1662289.8103160008,20116230.21659407,248398.55908000006,6487060.077630008,515686.3350000001,2265263.369230001,116654.40412199999,285100.86,10423497.110237986,293795.524815,633798.5183840005,432386.67000000016,5050634.867190007,4438355.017129999,821323.0935099995,4948431.5423650015,4563622.846920007,224153.0030499999,6360216.649319986,39968497.72060812,6826937.696260001,11742847.148459064,1286548.1592000006,3311202.4973199954,2275593.0785640012,2047959.0142180002,57913.57880999999,200342.6007800001,3247075.747480002,1228982.1389799998,15071468.616140073,10008091.445256017,19927607.64875001,1954182.0583660016,1035161.7212299996
"(10000.0, 100000.0]",3797403.490000001,1990369.9999999995,2198774.670140001,2579910.9689899995,1055541.43,15040086.677449984,854569.4084999998,727585.65222,3418989.1492899996,3883893.0300000003,233456.22503000003,1080144.5612700002,12218044.568390008,375014.11461000005,5846604.405189998,279876.00668,2025793.73305,39715.77412,213672.56,19465126.659459975,120852.4084,697352.2065000001,313128.93,2027621.5366900004,2429097.0629499997,459264.6988799999,286778.21252,2508403.2252100008,856384.72894,2109244.1103200004,42236223.22759002,1215410.40647,7763557.134230004,786381.77864,3758952.8543399996,2419833.9447600013,2045565.23731,94893.43665999999,192312.09363999998,1679364.8664800005,1295832.7289700005,13113002.156979982,5394831.481059998,25456667.538169995,1311426.7345299998,1749296.5435300004
"(100000.0, 1e+99]",10220962.819999998,3195276.14,236855.2376,2306416.3902,0.0,19841344.961200006,904698.2498999999,2448623.8438000004,5793717.320300002,7359094.710000002,376441.3163,504616.8861,7591789.388300001,697119.4604,8944081.4909,753627.3892000001,2986219.9483000003,349645.7191,486843.84,685817.5504000001,294628.1061,1182894.7906,219040.97,1637540.6426000001,2899682.5199999996,1254422.8283,1949877.4076,4793045.698399999,0.0,1739043.9242999998,51356306.44340001,0.0,7292437.411400001,1671878.0315999999,3108639.4154,2696942.6519,1528437.7277,0.0,0.0,1316706.3789000001,2501012.6841000007,1706005.1141999997,2824184.7378999996,100936.6823,3848929.0221,2706398.6976
