,ao,bf,bi,bj,bw,cd,cf,cg,ci,cm,dj,er,et,ga,gh,gm,gn,gq,gw,ke,km,lr,ls,mg,ml,mr,mw,mz,na,ne,ng,rw,sd,sl,sn,so,ss,st,sz,td,tg,tz,ug,za,zm,zw
"(0.0, 10.0]",0.10795536309998822,0.22647883557306966,0.0838704394717449,0.3675732382767995,0.791163584754304,0.09823731656184487,0.21091390728476822,0.35900992990654207,0.2350789935634874,0.2688549492958903,0.0,0.0,0.12781430710792918,0.4253455590529629,0.3320693199135273,0.1818955732122588,0.1195390636324105,0.12791079042308953,0.18788627935723115,0.37274947186405616,0.09738372093023256,0.47104421637730415,0.029836036197473343,0.13007889228787634,0.3246573350048136,0.3910230861207346,0.3874328760847988,0.6456437214292592,0.6208270045779473,0.06435956419525266,0.0978002529158716,0.21301368436399992,0.40608512410409275,0.009615384615384616,0.173387165465665,0.06734690178878881,0.2500181555301745,0.2831541218637993,0.13617220402433317,0.25204070376702886,0.2635242272605589,0.3703085480344665,0.26494182101480235,0.36780519595935657,0.7618283892767934,0.29848953255042376
"(10.0, 100.0]",0.7773845811692984,0.6956908180641913,0.7244089882908912,0.5468420399553294,0.18738301417199746,0.6972981132075472,0.6750198675496689,0.4843019859813084,0.64215590663806,0.5985685155533659,0.6680244399185336,0.8291873429142231,0.7299877776696155,0.42411386341863966,0.5649360314703902,0.4554483541430193,0.6648354834033918,0.5424729419481797,0.5978280063570546,0.5361872830525615,0.4796511627906977,0.4564449429925162,0.6704596362333124,0.6397166317823216,0.544156860572228,0.4968268081062023,0.48575064260809814,0.32599071981072814,0.3675634911362019,0.785010996233474,0.7237952623437623,0.5700152048488888,0.49115286705973343,0.5867812742812742,0.5889848554539105,0.7890787828261776,0.6510110979804449,0.5197132616487455,0.7613476836686944,0.616147757983564,0.6235868289368012,0.569282644574956,0.6126159181724511,0.5199563547313644,0.21868434920829877,0.6540533705154358
"(100.0, 500.0]",0.0916744070435249,0.06514702817073123,0.15984512627355565,0.06317048133650689,0.013266964230618919,0.14688469601677148,0.0823841059602649,0.11872079439252337,0.07803458812821013,0.1037210384420632,0.25186693822131706,0.12724753496165495,0.11973065641682178,0.12097988230463938,0.068263812595244,0.23751418842224745,0.17648934628206986,0.2784519514594949,0.1803814232738831,0.06937943704954057,0.17296511627906977,0.05824641296522627,0.2484544395663471,0.19202060859764933,0.09524667031437219,0.08538492197320416,0.09665334792456672,0.023091577678026953,0.009347084877903703,0.10945676078768422,0.1316376302686102,0.13363604174043447,0.0730816077953715,0.3216297591297591,0.1766239075995298,0.10776229225945594,0.08550924611636705,0.14157706093189965,0.08768132896583997,0.10459985659919475,0.08671567718951421,0.0454663587259399,0.09684350732577719,0.06552714992446011,0.016148220296743364,0.0435569694811699
"(500.0, 1000.0]",0.013082327084341762,0.007157717553319096,0.01840002807378727,0.010174959672415933,0.002920789024415328,0.027713207547169813,0.01652980132450331,0.019056658878504672,0.01960210649502633,0.015580736543909348,0.04480651731160896,0.019720306760327384,0.013230205577040504,0.016422608457643356,0.01473579756884148,0.05902383654937571,0.023293230903029424,0.033781567727123644,0.022249690976514216,0.009695572406730291,0.06540697674418605,0.008655761857724053,0.03135919720455156,0.023055868620189986,0.02075729137086776,0.014317687095686298,0.017270251698775864,0.002858793483693185,0.0009878169245966415,0.021948229227230213,0.022168245509049646,0.033304867634500426,0.014096546627881854,0.050893550893550896,0.0338495085262602,0.017579788680065968,0.007539496530643234,0.023297491039426525,0.008890968647636874,0.01620842755501627,0.014003006527872161,0.006546866292279333,0.014146415018471513,0.013483623149766468,0.0020294172673275246,0.0023127888906267157
"(1000.0, 10000.0]",0.008791323800677665,0.005199177255762553,0.012516230158265976,0.01111123644936773,0.0045251660941645925,0.02769308176100629,0.014119205298013245,0.01664719626168224,0.023868734152525845,0.012084137345869087,0.02987101154107264,0.022104788296706836,0.008674609706477245,0.010948405638428903,0.018272672502392173,0.062145289443813846,0.01465429772430787,0.01574286651361102,0.010595090941197245,0.009932300820058101,0.17296511627906977,0.005139881799460898,0.018457127497536065,0.01447753984865561,0.014496166446188263,0.011742342949995401,0.012806352276486906,0.0022684652382633573,0.000913465113067862,0.018674637882656286,0.021970654984362122,0.04828060236195872,0.014466025193428291,0.029283216783216784,0.024786630551438645,0.016238650162205267,0.005334424865814127,0.02867383512544803,0.005556855404773046,0.010513760961888479,0.011078849282345916,0.007633321901659022,0.010831595084315549,0.027421473077188927,0.0012296469156713571,0.0013743623191781779
"(10000.0, 100000.0]",0.0008961394052774107,0.0003146249473986416,0.0009357929090292318,0.001037800764814042,0.0007404817244996607,0.0020528301886792453,0.0009801324503311258,0.0018983644859813084,0.0011621481048046292,0.0010537696213272023,0.0047522063815342835,0.0016433588966939486,0.0005368779074741074,0.0019159709867250581,0.001601871212389694,0.00340522133938706,0.0010291346571966952,0.0009839291571006887,0.0009712166696097474,0.00204049599748862,0.00872093023255814,0.0004352994357849621,0.0013439655944807814,0.0006182579294799549,0.0006164160600624727,0.0006438360364227244,6.107958160486601e-05,0.00012723579658778812,0.0003611373702826431,0.0005245329760610733,0.0023329795522034165,0.0017495990502176585,0.0010520745595220577,0.001554001554001554,0.0020783291596395293,0.0018304728419450134,0.0005281608778033789,0.0035842293906810036,0.00035095928872250817,0.00046191605537477246,0.0009678548629558699,0.0007421657306983324,0.0005956120730818527,0.005801265910280337,6.569542174318518e-05,0.00018968196656938532
"(100000.0, 1e+99]",0.00021585839689163908,1.179843552744906e-05,2.3394822725730797e-05,9.024354476643843e-05,0.0,0.00012075471698113207,5.298013245033112e-05,0.0003650700934579439,9.752291788570315e-05,0.00013685319757496134,0.0006788866259334691,9.666817039376169e-05,2.5565614641624164e-05,0.0002737101409607226,0.00012049473721515398,0.0005675368898978433,0.0001594433975938542,0.0006559527714004591,8.829242450997704e-05,1.543880956485715e-05,0.0029069767441860465,3.3484571983458624e-05,8.959770629871875e-05,3.220093382708099e-05,6.926023146769356e-05,6.131771775454518e-05,2.5449825668694168e-05,1.9486563441372954e-05,0.0,2.527869764149751e-05,0.00029497442614066186,0.0,6.57546599701286e-05,0.0002428127428127428,0.0002896032435563278,0.00016311144136143684,5.9418098752880127e-05,0.0,0.0,2.7577077932822238e-05,0.00012355593995181318,2.0094740000857376e-05,2.513131110050011e-05,4.937247583217308e-06,1.428161342243156e-05,2.3294276596240304e-05
